               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.014738,            0.005641,                   0,             0.99802,                   1,               0.995,             0.88019,             0.01246,           0.0036134,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.014184,           0.0053446,                   0,             0.99823,                   1,               0.995,             0.90012,            0.010895,           0.0036521,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.013685,           0.0056179,                   0,             0.99812,                   1,               0.995,             0.87296,            0.011703,           0.0036969,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.015102,           0.0060102,                   0,             0.99789,                   1,               0.995,             0.85737,            0.012563,           0.0038363,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.015403,           0.0056619,                   0,             0.99813,                   1,               0.995,             0.88864,            0.010813,           0.0034778,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.015621,           0.0054163,                   0,             0.99809,                   1,               0.995,             0.88006,            0.012163,           0.0036199,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.013053,           0.0053579,                   0,             0.99814,                   1,               0.995,             0.89734,            0.010811,           0.0034293,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.012709,           0.0052375,                   0,             0.99843,                   1,               0.995,              0.8888,            0.010377,           0.0034561,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.013232,           0.0055388,                   0,             0.99817,                   1,               0.995,             0.89912,            0.010982,           0.0034529,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.014314,            0.005535,                   0,             0.99806,                   1,               0.995,             0.88963,            0.010448,           0.0036172,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.013637,           0.0052866,                   0,             0.99817,                   1,               0.995,             0.90298,             0.01058,            0.003425,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.013922,           0.0050402,                   0,             0.99763,                   1,               0.995,             0.89922,            0.010365,           0.0033412,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.013146,            0.005495,                   0,             0.99751,                   1,               0.995,             0.88798,            0.010062,           0.0036381,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.015313,           0.0058264,                   0,              0.9984,                   1,               0.995,             0.87162,            0.011253,           0.0036154,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.013793,           0.0052669,                   0,              0.9918,                   1,               0.995,             0.87032,            0.010656,           0.0037534,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.013049,           0.0051944,                   0,             0.99487,                   1,               0.995,             0.90035,            0.010758,           0.0035632,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.012426,             0.00515,                   0,             0.99748,                   1,               0.995,             0.90095,            0.010292,            0.003339,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.012802,           0.0057893,                   0,             0.99814,                   1,               0.995,             0.90427,             0.01024,           0.0034394,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.013894,           0.0054974,                   0,             0.99804,                   1,               0.995,             0.89825,             0.01058,           0.0033777,                   0,            0.005479,            0.005479,            0.005479
                 139,             0.01319,           0.0054384,                   0,             0.99814,                   1,               0.995,              0.9041,            0.010055,           0.0033385,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.013227,           0.0056332,                   0,             0.99812,                   1,               0.995,             0.91106,           0.0098557,           0.0033567,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.012344,           0.0051015,                   0,              0.9982,                   1,               0.995,             0.91043,           0.0094998,           0.0034046,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.012768,           0.0051048,                   0,             0.99783,                   1,               0.995,             0.90434,            0.010013,            0.003457,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.012381,           0.0051261,                   0,              0.9969,                   1,               0.995,             0.89603,            0.010468,           0.0035472,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.014154,           0.0052086,                   0,             0.99622,                   1,               0.995,             0.90652,            0.010557,           0.0037429,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.013765,            0.005054,                   0,             0.99673,                   1,               0.995,             0.91026,            0.010843,           0.0035208,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.013172,           0.0053405,                   0,             0.99761,                   1,               0.995,             0.90184,           0.0097661,           0.0034623,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.014096,           0.0054208,                   0,             0.99792,                   1,               0.995,             0.89623,            0.010979,           0.0034696,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.013352,           0.0054889,                   0,             0.99784,                   1,               0.995,             0.89695,            0.010785,           0.0033597,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.013094,           0.0050315,                   0,              0.9978,                   1,               0.995,             0.90048,            0.010085,           0.0032699,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.012336,           0.0053721,                   0,             0.99606,                   1,               0.995,             0.89704,            0.010643,            0.003309,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.012129,           0.0049983,                   0,             0.99625,                   1,               0.995,              0.8818,            0.010706,           0.0033155,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.012215,             0.00521,                   0,             0.99071,                   1,               0.995,             0.89482,            0.010072,           0.0034895,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.012365,           0.0054355,                   0,              0.9992,                   1,               0.995,              0.8955,            0.010064,           0.0033154,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.011639,           0.0048221,                   0,             0.99632,                   1,               0.995,              0.9039,            0.010366,           0.0033868,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.012255,           0.0051465,                   0,             0.99564,                   1,               0.995,             0.90244,             0.01009,           0.0033888,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.012929,           0.0049094,                   0,             0.99794,                   1,               0.995,             0.90705,            0.010375,           0.0032749,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.012488,           0.0052584,                   0,             0.99819,                   1,               0.995,             0.90351,            0.010248,           0.0033272,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.011486,           0.0046141,                   0,             0.99813,                   1,               0.995,              0.8939,           0.0098132,           0.0031893,                   0,            0.004819,            0.004819,            0.004819
                 159,             0.01271,            0.004814,                   0,             0.99815,                   1,               0.995,             0.90373,            0.010134,           0.0032736,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.012572,           0.0050257,                   0,             0.99812,                   1,               0.995,             0.90625,             0.01032,           0.0032677,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.012217,            0.005317,                   0,             0.99642,                   1,               0.995,             0.90047,            0.010091,           0.0033863,                   0,             0.00472,             0.00472,             0.00472
